player_id,GAMES,record,MIN,POSS,MINxGP,PM,ORAPM,DRAPM,RAPM
Vasilije Micic,170,0.6470588235294118,4793,8891,28.194117647058825,597,0.834747508377549,0.3676307287256223,1.2023782371031713
Ivan Evstigneev,2,0,24.116666666666667,47,12.058333333333334,-6,-2.1883600982308815,3.3823961353026677,1.1940360370717862
Gregory Monroe,5,0.6,118.23333333333333,227,23.64666666666667,4,1.1438620337529386,0.04124229974043388,1.1851043334933724
Brandon Davies,169,0.6568047337278107,3472.266666666667,6201,20.54595660749507,372,0.1584528942076832,1.0184795065388286,1.1769324007465118
Jalen Reynolds,86,0.5697674418604651,1568.15,2955,18.234302325581396,137,0.09668543644514521,1.0669864507695141,1.1636718872146594
Lucca Staiger,28,0.35714285714285715,290.35,513,10.369642857142859,34,2.1351673537151927,-0.9743793743943181,1.1607879793208746
Adam Hanga,153,0.6274509803921569,3017.2166666666667,5751,19.72037037037037,238,-0.3597242677314215,1.5118443429860664,1.1521200752546448
Leandro Bolmaro,36,0.6944444444444444,349.7,613,9.713888888888889,45,0.13006494509641794,1.0120596905770252,1.1421246356734431
Axel Toupane,60,0.55,874.5666666666667,1667,14.576111111111112,-43,1.2732956679501672,-0.1517606597807541,1.121535008169413
Antanas Kavaliauskas,55,0.6,697.4333333333333,1212,12.68060606060606,70,-0.5180583984501798,1.6176283512654777,1.099569952815298
Adrien Moerman,159,0.5974842767295597,3723.733333333333,7021,23.41970649895178,478,0.9255100469755542,0.12444248445964692,1.0499525314352012
Igor Volkhin,5,0.6,26.283333333333335,42,5.256666666666667,5,4.505215845464776,-3.45760009233244,1.047615753132336
Elijah Bryant,97,0.5670103092783505,2005.8833333333334,3779,20.679209621993127,137,-0.13599405437064424,1.1747078733107148,1.0387138189400706
Cory Higgins,145,0.7310344827586207,3664.516666666667,6782,25.272528735632186,542,0.6413010518798037,0.37976969310810443,1.0210707449879082
Davide Alviti,6,0.6666666666666666,62.7,103,10.450000000000001,4,1.7258660356983986,-0.7069767695133727,1.0188892661850257
Bryant Dunston,147,0.54421768707483,3409.6666666666665,5902,23.19501133786848,238,1.0262901056077878,-0.010529829021160874,1.015760276586627
Yakuba Ouattara,30,0.6,425.53333333333336,721,14.184444444444445,7,1.734154666020517,-0.7533589517901125,0.9807957142304045
Pero Antic,18,0.5,327.5833333333333,587,18.199074074074073,12,0.9159962630209736,0.02778652705974232,0.9437827900807159
Andrea Cinciarini,59,0.4745762711864407,584.5,1036,9.90677966101695,-6,0.746468290634833,0.1763744924542109,0.9228427830890439
Bugrahan Tuncer,46,0.717391304347826,255.06666666666666,450,5.544927536231884,52,1.535731314389394,-0.6354892585515731,0.9002420558378209
Nikola Milutinov,117,0.5555555555555556,2719.766666666667,5019,23.24586894586895,285,0.1833308903315537,0.7157108241850474,0.8990417145166011
Quincy Acy,31,0.6774193548387096,529.05,1029,17.066129032258065,60,0.12296517273633235,0.7673455595115526,0.8903107322478849
Dmitry Kulagin,17,0.5882352941176471,323.95,550,19.055882352941175,12,-0.9036477089745361,1.7779466060243043,0.8742988970497683
James Anderson,164,0.6463414634146342,2611.366666666667,4700,15.922967479674798,143,0.820788339235027,0.05323989927774415,0.8740282385127712
Pierria Henry,87,0.47126436781609193,2322.65,4310,26.69712643678161,172,-0.3015732844251951,1.1609811137133923,0.8594078292881973
Juan Nunez,10,0.7,46.11666666666667,77,4.611666666666666,12,1.6187148945358665,-0.7665221648665114,0.8521927296693551
Nigel Williams-Goss,59,0.576271186440678,1269.4,2368,21.515254237288136,78,-0.23334921415877918,1.0811945950666304,0.8478453809078512
Anthony Randolph,103,0.6990291262135923,1970.3166666666666,3589,19.129288025889966,312,1.0038190137631666,-0.16315821961004082,0.8406607941531258
Thomas Walkup,133,0.5112781954887218,2928.7833333333333,5311,22.02092731829574,277,0.19413745250969713,0.6379607226920438,0.832098175201741
Hollis Thompson,28,0.6071428571428571,421.1166666666667,729,15.039880952380953,24,-2.61788554888772,3.4449389438701994,0.8270533949824794
Deni Avdija,34,0.6176470588235294,420.53333333333336,768,12.368627450980393,20,-1.8526177276516975,2.6746651384940225,0.822047410842325
Tarik Biberovic,37,0.43243243243243246,331.4166666666667,569,8.957207207207208,11,-0.5439916567734266,1.3419395072902178,0.7979478505167912
Iffe Lundberg,39,0.6410256410256411,808.5166666666667,1429,20.73119658119658,50,0.6809408314977188,0.10941486998352257,0.7903557014812413
Davide Pascolo,11,0.36363636363636365,125.5,217,11.409090909090908,4,0.4191295609529271,0.3653495102471355,0.7844790712000627
Ben Lammers,52,0.38461538461538464,992.6333333333333,1796,19.089102564102564,-1,-0.41056552668573143,1.1609663123305711,0.7504007856448397
Kostas Sloukas,164,0.5975609756097561,4301.433333333333,7937,26.228252032520327,405,0.9861605761921308,-0.2688144144064019,0.7173461617857289
Kaleb Tarczewski,156,0.4935897435897436,2461.2,4379,15.776923076923076,61,-0.2113962294305883,0.9210011295296555,0.7096049000990672
Mike Tobey,54,0.5185185185185185,930.7666666666667,1670,17.23641975308642,69,0.11080596774736459,0.5954213598449477,0.7062273275923123
Kevin Punter,54,0.5370370370370371,1228.2833333333333,2316,22.745987654320988,43,0.650985944639741,0.054846271462060475,0.7058322161018015
Othello Hunter,155,0.6193548387096774,3156.9666666666667,6114,20.36752688172043,206,0.7071166062700601,-0.0017680842716836355,0.7053485219983765
Kevin Pangos,110,0.5818181818181818,2829.4666666666667,5107,25.722424242424243,238,0.714703385673662,-0.01145930564607813,0.7032440800275839
Andrey Vorontsevich,88,0.6931818181818182,1281.7666666666667,2405,14.565530303030302,134,-0.006576291802947727,0.6994892720292366,0.6929129802262889
Mario Hezonja,33,0.45454545454545453,922.3333333333334,1685,27.94949494949495,44,-0.03846585810009264,0.724548780364984,0.6860829222648914
Marko Jagodic Kuridza,42,0.3333333333333333,773.0666666666667,1336,18.40634920634921,9,-0.011016457344562428,0.6933787184936326,0.6823622611490702
Kostas Papanikolaou,135,0.562962962962963,3161.483333333333,5528,23.418395061728393,181,-0.013892602765783404,0.6730790998989298,0.6591864971331464
Patricio Garino,55,0.4727272727272727,827.7,1593,15.04909090909091,39,-0.18813896329059543,0.8409343721625875,0.65279540887199206
Shaquielle McKissic,73,0.5342465753424658,1459.4166666666667,2599,19.992009132420094,90,0.35042426244579783,0.2947358945594047,0.6451601570052026
Duop Reath,23,0.34782608695652173,307.4,532,13.365217391304347,-16,-0.5028344581318455,1.1473098655767537,0.6444754074449083
Fabien Causeur,152,0.6776315789473685,2506.0833333333335,4519,16.487390350877195,268,0.1240575061460492,0.5128197686960553,0.6368772748421044
Anthony Gill,69,0.4782608695652174,1614.8666666666666,2874,23.403864734299514,6,0.694472470183566,-0.06028168861197959,0.6341907815715864
Semaj Christon,7,0.5714285714285714,172.53333333333333,305,24.64761904761905,3,-1.9829842070364774,2.609857080022273,0.6268728729857957
Dogus Ozdemiroglu,28,0.17857142857142858,322.9166666666667,582,11.532738095238097,-48,-0.16312349560184383,0.7842130800326883,0.6210895844308445
Augustine Rubit,123,0.43089430894308944,2549.9666666666667,4860,20.731436314363144,27,0.2652773420918966,0.3470994058338467,0.6123767479257433
Nicolas Laprovittola,95,0.6842105263157895,1680.8,3179,17.692631578947367,256,0.2511172869225805,0.3496858758566031,0.6008031627791837
Vasilis Kavvadas,11,0.2727272727272727,123.85,220,11.259090909090908,-4,-0.20593745946792824,0.8047370875240235,0.5987996280560952
Sasha Vezenkov,135,0.5185185185185185,2673.0833333333335,4750,19.80061728395062,174,0.36701922396648745,0.2289855710798333,0.5960047950463208
Deon Thompson,17,0.5294117647058824,234.01666666666668,401,13.765686274509804,15,-0.33743157715592625,0.918961681556569,0.5815301044006427
Alex Poythress,55,0.6,1063.05,1794,19.328181818181818,56,0.14965893917658316,0.4189220297363177,0.5685809689129009
Tornike Shengelia,133,0.5263157894736842,3462.4333333333334,6626,26.033333333333335,196,0.2372536521334803,0.3308301747194346,0.5680838268529149
